tier,Checrouit,Mt Favre,Lac Combal,Chavannes,St Bernard,BSM,F. Platte,Passeur,Roselend,La Gittaz,2 Nants,Col Joly,Contamines,Col Tricot,Bellevue,Houches,Finish
22h,7:06,7:57,8:25,9:17,11:21,13:03,15:06,16:43,17:27,19:12,20:03,21:22,22:49,1:13,2:12,2:57,4:02
23h,7:05,7:55,8:24,9:18,11:26,13:17,15:25,16:59,17:43,19:33,20:24,21:49,23:28,2:05,3:09,3:55,5:04
24h,7:10,8:02,8:31,9:28,11:34,13:25,15:48,17:26,18:12,20:09,21:07,22:33,0:10,2:57,4:02,4:46,5:56
25h,7:10,8:03,8:34,9:35,11:49,13:42,16:06,17:47,18:36,20:42,21:40,23:17,1:07,3:55,5:02,5:53,7:07
26h,7:14,8:12,8:44,9:49,12:03,14:01,16:31,18:11,19:01,21:17,22:13,23:52,1:45,4:44,5:51,6:43,7:59
27h,7:13,8:10,8:43,9:46,12:10,14:13,16:47,18:32,19:25,21:52,22:57,0:41,2:47,5:48,7:01,7:53,9:05
28h,7:15,8:19,8:50,9:54,12:23,14:33,17:09,19:04,20:03,22:31,23:41,1:29,3:48,6:48,7:56,8:43,9:57
29h,7:16,8:19,8:53,10:02,12:34,14:47,17:29,19:24,20:29,23:00,0:10,2:08,4:34,7:45,8:51,9:41,11:01
30h,7:17,8:21,9:00,10:12,12:44,15:01,17:57,19:53,21:03,23:43,1:02,3:00,5:28,8:37,9:47,10:40,11:56
31h,7:20,8:30,9:07,10:25,13:04,15:26,18:18,20:24,21:43,0:32,1:53,3:59,6:26,9:30,10:41,11:38,12:55
32h,7:20,8:31,9:09,10:28,13:14,15:43,18:39,20:50,22:09,1:04,2:31,4:44,7:17,10:13,11:25,12:28,13:56
33h,7:21,8:34,9:12,10:32,13:19,15:51,18:50,21:10,22:34,1:31,2:57,5:17,7:48,10:50,12:08,13:18,14:41
